"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
30,96064804,"waterboyalz (5/Unl.)",0,186.95,"(3B) Alex Rodriguez ,(1B) Garrett Jones ,(C) Brian McCann ,(2B) Neil Walker ,(OF) Brett Gardner ,(P) Chris Archer ,(OF) A.J. Pollock ,(OF) Gregory Polanco ,(P) Carlos Martinez ,(SS) Carlos Correa "
31,96065911,"bigboyd3 (1/Unl.)",0,186.75,"(P) Jason Hammel ,(SS) Asdrubal Cabrera ,(OF) Andrew McCutchen ,(OF) Brett Gardner ,(C) Francisco Cervelli ,(OF) David Peralta ,(P) Madison Bumgarner ,(2B) Derek Dietrich ,(3B) Pedro Alvarez ,(1B) Jose Abreu "
32,96050417,"bushmanwild (1/Unl.)",0,186.50,"(OF) Andrew McCutchen ,(OF) Ryan Braun ,(C) Francisco Cervelli ,(P) Chris Archer ,(P) Madison Bumgarner ,(1B) Wilin Rosario ,(2B) Anthony Rendon ,(OF) Jake Elmore ,(SS) Didi Gregorius ,(3B) Nolan Arenado "
32,96064271,"Nexus (2/Unl.)",0,186.50,"(OF) Carlos Beltran ,(1B) Garrett Jones ,(2B) Robinson Cano ,(OF) Jeff Francoeur ,(C) Brian McCann ,(OF) Brett Gardner ,(P) Chris Archer ,(P) Madison Bumgarner ,(SS) Cesar Hernandez ,(3B) Maikel Franco "
34,96053972,"mbaldwin4 (1/Unl.)",0,185.75,"(P) Jason Hammel ,(OF) Brandon Barnes ,(C) Welington Castillo ,(2B) Jose Altuve ,(OF) A.J. Pollock ,(1B) Paul Goldschmidt ,(P) Mike Fiers ,(3B) Maikel Franco ,(OF) Kevin Pillar ,(SS) Carlos Correa "
35,96052738,"jaezee (1/Unl.)",0,185.50,"(2B) Robinson Cano ,(SS) Asdrubal Cabrera ,(OF) Seth Smith ,(OF) Brett Gardner ,(1B) Logan Morrison ,(P) Chris Archer ,(P) Madison Bumgarner ,(C) Jonathan Lucroy ,(OF) Dustin Ackley ,(3B) Kyle Seager "
36,96059591,"leblanc13 (1/Unl.)",0,185.35,"(C) Russell Martin ,(OF) Brett Gardner ,(1B) Logan Morrison ,(OF) Steven Souza Jr. ,(P) Collin McHugh ,(2B) Kolten Wong ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(P) Carlos Martinez ,(SS) Carlos Correa "
37,96037593,"seanooo (2/Unl.)",0,185.25,"(OF) Carlos Beltran ,(1B) Garrett Jones ,(SS) Hanley Ramirez ,(OF) Chris Young ,(2B) Dustin Pedroia ,(OF) Brett Gardner ,(C) Francisco Cervelli ,(3B) Chase Headley ,(P) Madison Bumgarner ,(P) Carlos Martinez "
38,96065722,"beastpowers (1/Unl.)",0,185.20,"(P) Ubaldo Jimenez ,(OF) Jason Heyward ,(OF) Charlie Blackmon ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(2B) DJ LeMahieu ,(1B) Paul Goldschmidt ,(SS) Cesar Hernandez ,(C) Cameron Rupp ,(P) Carlos Martinez "
39,96012785,"AJP37 (3/Unl.)",0,184.95,"(3B) Luis Valbuena ,(OF) Andrew McCutchen ,(1B) Chris Carter ,(P) David Price ,(C) Derek Norris ,(2B) Jose Altuve ,(OF) Domingo Santana ,(OF) George Springer ,(P) Carlos Martinez ,(SS) Carlos Correa "
40,96066466,"Getsome1977 (1/Unl.)",0,184.80,"(3B) Alex Rodriguez ,(1B) Garrett Jones ,(SS) Andres Blanco ,(OF) Brett Gardner ,(C) Nick Hundley ,(P) Madison Bumgarner ,(OF) A.J. Pollock ,(OF) Mike Trout ,(P) Mike Fiers ,(2B) Cesar Hernandez "
41,96012779,"Albo19 (2/Unl.)",0,184.50,"(SS) Hanley Ramirez ,(C) Brian McCann ,(OF) Brett Gardner ,(OF) Chris Parmelee ,(P) Mike Montgomery ,(2B) Logan Forsythe ,(P) Stephen Strasburg ,(OF) A.J. Pollock ,(1B) Paul Goldschmidt ,(3B) Maikel Franco "
42,96055322,"snafoo (1/Unl.)",0,183.95,"(OF) Carlos Beltran ,(OF) Brett Gardner ,(P) Chris Archer ,(OF) Charlie Blackmon ,(SS) Didi Gregorius ,(1B) Paul Goldschmidt ,(2B) Cesar Hernandez ,(C) Cameron Rupp ,(P) Carlos Martinez ,(3B) Maikel Franco "
43,96063372,"Bogey316 (2/Unl.)",0,183.25,"(1B) Garrett Jones ,(OF) Brett Gardner ,(3B) Chase Headley ,(OF) Travis Snider ,(OF) Chris Parmelee ,(P) Madison Bumgarner ,(C) Buster Posey ,(2B) Anthony Rendon ,(P) Carlos Martinez ,(SS) Carlos Correa "
44,96061028,"poopaloop (6/Unl.)",0,183.20,"(1B) Joe Mauer ,(P) Jason Hammel ,(OF) Curtis Granderson ,(SS) Troy Tulowitzki ,(C) Wilin Rosario ,(OF) Charlie Blackmon ,(3B) Nolan Arenado ,(2B) DJ LeMahieu ,(P) Carlos Martinez ,(OF) Eddie Rosario "
45,96063969,"hodgie23 (1/Unl.)",0,182.95,"(3B) Alex Rodriguez ,(OF) Carlos Beltran ,(1B) Garrett Jones ,(2B) Robinson Cano ,(C) Brian McCann ,(OF) Brett Gardner ,(P) Chris Archer ,(OF) Gregory Polanco ,(P) Carlos Martinez ,(SS) Carlos Correa "
46,96034490,"bkeller77 (1/Unl.)",0,182.25,"(3B) Alex Rodriguez ,(OF) Carlos Beltran ,(OF) Brett Gardner ,(OF) David Peralta ,(P) Madison Bumgarner ,(1B) Wilin Rosario ,(2B) Anthony Rendon ,(SS) Didi Gregorius ,(C) Cameron Rupp ,(P) Carlos Martinez "
47,96057155,"petelin (8/Unl.)",0,182.10,"(P) Jason Hammel ,(P) Jesse Chavez ,(2B) Ben Zobrist ,(OF) Brett Gardner ,(OF) Josh Reddick ,(1B) Ike Davis ,(OF) Billy Burns ,(C) Josh Phegley ,(3B) Nolan Arenado ,(SS) Carlos Correa "
48,96048604,"markdale27 (1/Unl.)",0,182.00,"(3B) Alex Rodriguez ,(C) Brian McCann ,(OF) Chris Young ,(1B) Adam Lind ,(2B) Luis Valbuena ,(P) Jeff Samardzija ,(OF) Billy Burns ,(P) Stephen Strasburg ,(OF) Marcell Ozuna ,(SS) Carlos Correa "
49,96036557,"Hmandad2012 (1/Unl.)",0,181.95,"(1B) Adam LaRoche ,(2B) Aaron Hill ,(OF) Ben Zobrist ,(P) Chris Archer ,(SS) Andrew Romine ,(OF) Joey Butler ,(OF) Billy Burns ,(C) Josh Phegley ,(3B) Nolan Arenado ,(P) Carlos Martinez "
49,96064807,"waterboyalz (8/Unl.)",0,181.95,"(3B) Alex Rodriguez ,(2B) Neil Walker ,(OF) Brett Gardner ,(P) Chris Archer ,(OF) David Peralta ,(1B) Paul Goldschmidt ,(OF) Gregory Polanco ,(C) Cameron Rupp ,(P) Carlos Martinez ,(SS) Carlos Correa "
51,96059089,"Centrin (4/Unl.)",0,181.60,"(3B) Alex Rodriguez ,(OF) Carlos Beltran ,(1B) Garrett Jones ,(C) Brian McCann ,(2B) Neil Walker ,(OF) Brett Gardner ,(P) Stephen Strasburg ,(OF) A.J. Pollock ,(P) Carlos Martinez ,(SS) Carlos Correa "
52,96052496,"illchill (1/Unl.)",0,180.95,"(2B) Robinson Cano ,(OF) Andrew McCutchen ,(1B) Chris Carter ,(C) Nick Hundley ,(OF) Logan Morrison ,(P) Chris Archer ,(3B) DJ LeMahieu ,(OF) George Springer ,(P) Carlos Martinez ,(SS) Carlos Correa "
53,96056608,"zerochancejr (1/Unl.)",0,180.70,"(1B) Albert Pujols ,(OF) Cameron Maybin ,(OF) Chris Parmelee ,(OF) David Peralta ,(C) Wilin Rosario ,(P) Danny Salazar ,(3B) Nolan Arenado ,(2B) DJ LeMahieu ,(P) Carlos Martinez ,(SS) Carlos Correa "
54,96017736,"zombiedave (3/Unl.)",0,180.60,"(SS) Troy Tulowitzki ,(OF) Brett Gardner ,(C) Nick Hundley ,(P) Mike Montgomery ,(OF) Charlie Blackmon ,(3B) Nolan Arenado ,(2B) DJ LeMahieu ,(OF) Ben Paulsen ,(1B) Paul Goldschmidt ,(P) Carlos Martinez "
54,96046336,"DavidBrown2 (1/Unl.)",0,180.60,"(OF) Andrew McCutchen ,(OF) Brett Gardner ,(1B) Chris Carter ,(C) Wilson Ramos ,(P) Stephen Strasburg ,(OF) A.J. Pollock ,(P) Carlos Martinez ,(3B) Maikel Franco ,(SS) Xander Bogaerts ,(2B) Joe Panik "
56,96028338,"dvince59 (1/Unl.)",0,180.35,"(1B) Joe Mauer ,(C) Yadier Molina ,(P) Ubaldo Jimenez ,(P) Zack Greinke ,(3B) Luis Valbuena ,(OF) Brandon Barnes ,(OF) Giancarlo Stanton ,(2B) DJ LeMahieu ,(OF) George Springer ,(SS) Carlos Correa "
57,96027094,"ksevernak (1/Unl.)",0,180.20,"(OF) Carlos Beltran ,(P) Jason Hammel ,(C) Brian McCann ,(OF) Andrew McCutchen ,(OF) Brett Gardner ,(2B) Logan Forsythe ,(1B) Paul Goldschmidt ,(SS) Cesar Hernandez ,(P) Carlos Martinez ,(3B) Maikel Franco "
58,96038131,"nategi (18/Unl.)",0,179.95,"(3B) Alex Rodriguez ,(OF) Carlos Beltran ,(1B) Garrett Jones ,(C) Brian McCann ,(OF) Chris Young ,(OF) Brett Gardner ,(P) Chris Archer ,(2B) DJ LeMahieu ,(P) Carlos Martinez ,(SS) Nick Ahmed "
59,96017783,"FatMike (1/Unl.)",0,179.60,"(C) Brian McCann ,(OF) Brett Gardner ,(OF) David Peralta ,(2B) Jimmy Paredes ,(P) Mike Montgomery ,(OF) A.J. Pollock ,(1B) Paul Goldschmidt ,(3B) Jake Lamb ,(P) Carlos Martinez ,(SS) Carlos Correa "
60,96055151,"Mitben (1/Unl.)",0,179.50,"(SS) Asdrubal Cabrera ,(2B) Dustin Pedroia ,(OF) Andrew McCutchen ,(C) Francisco Cervelli ,(P) Chris Archer ,(P) Madison Bumgarner ,(1B) Pedro Alvarez ,(3B) Josh Harrison ,(OF) Starling Marte ,(OF) Gregory Polanco "
61,96067828,"dcbthink (3/Unl.)",0,179.35,"(1B) Mark Reynolds ,(OF) Brandon Barnes ,(C) Nick Hundley ,(P) Jeff Samardzija ,(P) Chris Archer ,(OF) Charlie Blackmon ,(3B) Nolan Arenado ,(2B) DJ LeMahieu ,(OF) Ben Paulsen ,(SS) Carlos Correa "
62,96013860,"DooleyMcStitch (6/Unl.)",0,179.25,"(SS) Asdrubal Cabrera ,(2B) Neil Walker ,(OF) Andrew McCutchen ,(OF) Brett Gardner ,(C) Francisco Cervelli ,(P) Madison Bumgarner ,(3B) Todd Frazier ,(1B) Pedro Alvarez ,(OF) Starling Marte ,(P) Carlos Martinez "
62,96015025,"TheFFOracle (3/Unl.)",0,179.25,"(OF) Carlos Beltran ,(1B) Garrett Jones ,(C) Brian McCann ,(2B) Neil Walker ,(OF) Brett Gardner ,(3B) Chase Headley ,(P) Madison Bumgarner ,(OF) A.J. Pollock ,(SS) Cesar Hernandez ,(P) Carlos Martinez "
62,96037781,"SkoCards (2/Unl.)",0,179.25,"(2B) Ben Zobrist ,(OF) Andrew McCutchen ,(C) Nick Hundley ,(OF) Josh Reddick ,(1B) Pedro Alvarez ,(OF) Billy Burns ,(P) Mike Fiers ,(P) Carlos Martinez ,(3B) Maikel Franco ,(SS) Carlos Correa "
65,96033442,"inthezonerr (23/Unl.)",0,178.40,"(OF) Carlos Beltran ,(1B) Garrett Jones ,(C) Brian McCann ,(P) Zack Greinke ,(OF) Brett Gardner ,(3B) Chase Headley ,(P) Madison Bumgarner ,(2B) Logan Forsythe ,(OF) Dustin Ackley ,(SS) Cesar Hernandez "
66,96063462,"bwbrad (1/Unl.)",0,178.10,"(1B) Garrett Jones ,(P) Zack Greinke ,(SS) Asdrubal Cabrera ,(P) Chris Archer ,(OF) David Peralta ,(C) Wilin Rosario ,(2B) Anthony Rendon ,(OF) Gregory Polanco ,(OF) George Springer ,(3B) Maikel Franco "
67,96067683,"MWIrish (1/Unl.)",0,177.95,"(3B) Alex Rodriguez ,(OF) Chris Young ,(2B) Neil Walker ,(OF) Andrew McCutchen ,(OF) Brett Gardner ,(P) Chris Archer ,(C) Matt Wieters ,(1B) Ben Paulsen ,(P) Carlos Martinez ,(SS) Carlos Correa "
68,96029613,"hgarretson (1/Unl.)",0,177.60,"(C) Brian McCann ,(P) Jesse Chavez ,(2B) Ben Zobrist ,(OF) Billy Burns ,(1B) Jose Abreu ,(OF) A.J. Pollock ,(OF) Domingo Santana ,(P) Carlos Martinez ,(3B) Maikel Franco ,(SS) Carlos Correa "
69,96025209,"dschap02 (5/Unl.)",0,177.25,"(OF) Andrew McCutchen ,(C) Welington Castillo ,(2B) Logan Forsythe ,(1B) Paul Goldschmidt ,(P) Mike Fiers ,(OF) Starling Marte ,(OF) George Springer ,(P) Carlos Martinez ,(3B) Maikel Franco ,(SS) Carlos Correa "
69,96033437,"inthezonerr (18/Unl.)",0,177.25,"(C) A.J. Pierzynski ,(1B) Albert Pujols ,(2B) Robinson Cano ,(OF) Brett Gardner ,(P) Madison Bumgarner ,(P) Danny Salazar ,(OF) Dustin Ackley ,(SS) Cesar Hernandez ,(3B) Maikel Franco ,(OF) Mookie Betts "
71,96047352,"tobes1975 (1/Unl.)",0,177.10,"(C) Miguel Montero ,(OF) Chris Young ,(P) Jeff Samardzija ,(1B) Todd Frazier ,(OF) Giancarlo Stanton ,(2B) Anthony Rendon ,(OF) A.J. Pollock ,(SS) Marcus Semien ,(P) Carlos Martinez ,(3B) Maikel Franco "
