Rank,EntryId,EntryName,TimeRemaining,Points,Lineup
28,96732728,WG000026 (4/Unl.),0,169.95,"(2B) Brandon Phillips ,(1B) Joey Votto ,(3B) Todd Frazier ,(C) Jason Castro ,(P) Lance Lynn ,(OF) Josh Harrison ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(OF) Gregory Polanco ,(SS) Jung Ho Kang "
31,96726728,BeepImaJeep (1/Unl.),0,168.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Josh Harrison ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer "
31,96735311,terribad (3/Unl.),0,168.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Colby Rasmus ,(OF) Jason Heyward ,(3B) Todd Frazier ,(P) Lance Lynn ,(P) Dallas Keuchel ,(SS) Carlos Correa "
31,96739506,fbean7 (1/Unl.),0,168.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Yadier Molina ,(1B) Joey Votto ,(OF) Jason Heyward ,(3B) Todd Frazier ,(P) Lance Lynn ,(P) Dallas Keuchel ,(OF) Gregory Polanco ,(SS) Adeiny Hechavarria "
31,96741697,DREAMCRUSHER (3/Unl.),0,168.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(SS) Marwin Gonzalez ,(3B) Todd Frazier ,(C) Jason Castro ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel "
35,96736781,PrimetimeJerick (3/Unl.),0,167.75,"(2B) Brandon Phillips ,(C) Yadier Molina ,(1B) Joey Votto ,(OF) Colby Rasmus ,(OF) Jason Heyward ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(P) Dallas Keuchel ,(SS) Adeiny Hechavarria "
36,96734335,Pointgiven (4/Unl.),0,166.95,"(2B) Brandon Phillips ,(C) Yadier Molina ,(OF) Skip Schumaker ,(1B) Joey Votto ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Randal Grichuk ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
36,96734422,REi77Y (3/Unl.),0,166.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(3B) Mark Reynolds ,(1B) Todd Frazier ,(C) Jason Castro ,(P) Lance Lynn ,(OF) Randal Grichuk ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
38,96725670,coobi26 (8/Unl.),0,165.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(OF) Jason Heyward ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Billy Hamilton ,(C) John Ryan Murphy ,(P) Dallas Keuchel ,(SS) Carlos Correa "
39,96722487,vmoney (11/Unl.),0,165.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(P) Dan Haren ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Jung Ho Kang "
39,96726212,tobyborcoman (1/Unl.),0,165.75,"(OF) Marlon Byrd ,(P) Dan Haren ,(C) Francisco Cervelli ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(SS) Jordy Mercer ,(2B) Jose Altuve ,(P) Dallas Keuchel ,(1B) Evan Gattis ,(OF) Preston Tucker "
39,96743830,BuzzBomb (2/Unl.),0,165.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(P) Dan Haren ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez "
42,96706842,theheaters (1/Unl.),0,164.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Yadier Molina ,(1B) Mark Reynolds ,(OF) Andrew McCutchen ,(OF) Jason Heyward ,(3B) Todd Frazier ,(P) Lance Lynn ,(P) Dallas Keuchel ,(SS) Jung Ho Kang "
42,96723262,WPalmer2014 (4/Unl.),0,164.95,"(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(P) Lance Lynn ,(2B) Kolten Wong ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez "
42,96750171,DREAMCRUSHER (16/Unl.),0,164.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(C) Francisco Cervelli ,(SS) Marwin Gonzalez ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) George Springer "
45,96727583,Guzin3522 (4/Unl.),0,163.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(SS) Jhonny Peralta ,(3B) Todd Frazier ,(P) Lance Lynn ,(P) Dallas Keuchel ,(OF) George Springer ,(OF) Preston Tucker "
46,96596900,escot4 (1/Unl.),0,163.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(P) Dan Haren ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
47,96726522,coobi26 (9/Unl.),0,162.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Lance Lynn ,(C) John Ryan Murphy ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer "
48,96751037,marioncobretti (2/Unl.),0,162.6,"(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(OF) Billy Hamilton ,(P) Adam Warren ,(P) Dallas Keuchel ,(SS) Carlos Correa "
49,96738361,charliedietz (1/Unl.),0,161.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(OF) Chris Young ,(OF) Colby Rasmus ,(3B) Todd Frazier ,(C) Jason Castro ,(P) Lance Lynn ,(P) Dallas Keuchel ,(SS) Carlos Correa "
49,96745482,BBoschetti (2/Unl.),0,161.95,"(3B) Mark Reynolds ,(OF) Andrew McCutchen ,(C) Francisco Cervelli ,(1B) Todd Frazier ,(P) Lance Lynn ,(OF) Josh Harrison ,(2B) Kolten Wong ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(SS) Jung Ho Kang "
51,96716202,moconnell40 (5/Unl.),0,161.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
51,96722491,vmoney (12/Unl.),0,161.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
51,96728981,naapstermaan (19/Unl.),0,161.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
51,96741974,Tolpeko (2/Unl.),0,161.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
55,96746843,AndyKapps (1/Unl.),0,160.75,"(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Jason Heyward ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
56,96750803,pharly (1/Unl.),0,160.6,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Todd Frazier ,(OF) Billy Hamilton ,(P) Adam Warren ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer ,(3B) Jung Ho Kang "
57,96736671,PrimetimeJerick (1/Unl.),0,160.55,"(P) A.J. Burnett ,(OF) Andrew McCutchen ,(C) Francisco Cervelli ,(3B) Josh Harrison ,(2B) Jose Altuve ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(1B) Justin Bour ,(SS) Adeiny Hechavarria ,(OF) Preston Tucker "
58,96729438,MotownMauler (2/Unl.),0,159.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(OF) Skip Schumaker ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Lance Lynn ,(P) Dallas Keuchel ,(SS) Carlos Correa "
58,96740369,c3130 (1/Unl.),0,159.95,"(C) Brayan Pena ,(OF) Colby Rasmus ,(OF) Jason Heyward ,(1B) Todd Frazier ,(P) Lance Lynn ,(2B) Kolten Wong ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(3B) Matt Carpenter ,(SS) Jung Ho Kang "
60,96735602,JaNelson38 (1/Unl.),0,158.95,"(OF) Colby Rasmus ,(C) Francisco Cervelli ,(OF) Jason Heyward ,(1B) Todd Frazier ,(P) Lance Lynn ,(2B) Kolten Wong ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(3B) Matt Carpenter ,(SS) Jung Ho Kang "
60,96738943,evskilliter (1/Unl.),0,158.95,"(2B) Brandon Phillips ,(C) Brayan Pena ,(3B) Mark Reynolds ,(OF) Andrew McCutchen ,(OF) Giancarlo Stanton ,(P) Lance Lynn ,(SS) Jordy Mercer ,(P) Dallas Keuchel ,(OF) George Springer ,(1B) Evan Gattis "
62,96747784,TdraftyT (13/Unl.),0,158.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer "
63,96724560,jensjaguars (1/Unl.),0,157.95,"(3B) Luis Valbuena ,(OF) Colby Rasmus ,(C) Francisco Cervelli ,(OF) Jason Heyward ,(P) Lance Lynn ,(2B) Jose Altuve ,(P) Dallas Keuchel ,(1B) Evan Gattis ,(OF) Preston Tucker ,(SS) Jung Ho Kang "
64,96743311,Bigmoneyang (1/Unl.),0,157.6,"(1B) Joey Votto ,(3B) Luis Valbuena ,(OF) Andrew McCutchen ,(C) Francisco Cervelli ,(OF) Giancarlo Stanton ,(2B) Jose Altuve ,(OF) Randal Grichuk ,(P) Adam Warren ,(P) Dallas Keuchel ,(SS) Adeiny Hechavarria "
65,96710987,dgratz14 (2/Unl.),0,156.95,"(C) Brayan Pena ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(P) Lance Lynn ,(2B) Kolten Wong ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) Gregory Polanco ,(OF) Preston Tucker "
65,96721460,dennybob (1/Unl.),0,156.95,"(C) Brayan Pena ,(1B) Joey Votto ,(2B) Luis Valbuena ,(3B) Todd Frazier ,(P) Lance Lynn ,(SS) Jordy Mercer ,(OF) Randal Grichuk ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) George Springer "
65,96745535,Chipchasr1 (1/Unl.),0,156.95,"(C) Brayan Pena ,(OF) Andrew McCutchen ,(OF) Jason Heyward ,(1B) Todd Frazier ,(P) Lance Lynn ,(SS) Jordy Mercer ,(2B) Kolten Wong ,(P) Dallas Keuchel ,(OF) George Springer ,(3B) Jung Ho Kang "
